<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210108,000000,101.5900000,104.2500000,101.1400000,104.1700000,23578670
20210111,000000,104.5900000,107.2700000,102.6700000,105.8500000,32448720
20210112,000000,105.4200000,107.5000000,104.7600000,107.4600000,29679320
20210113,000000,107.5100000,108.8800000,105.2000000,106.1300000,36311730
20210114,000000,105.9800000,106.9200000,103.0600000,105.4200000,27157360
20210115,000000,104.7000000,106.1600000,103.5300000,104.1100000,16430640
20210118,000000,104.2000000,104.2000000,102.2100000,103.0600000,15237350
20210119,000000,104.0000000,105.7100000,103.2500000,103.5900000,21274440
20210120,000000,103.7500000,106.5900000,103.7500000,105.7700000,16309960
20210121,000000,106.0200000,106.4800000,101.6000000,105.9900000,25224300
20210122,000000,105.0200000,105.4500000,102.4500000,103.4300000,23629640
20210125,000000,103.9900000,104.3500000,99.5000000,101.1000000,30438820
20210126,000000,100.4000000,104.1700000,99.9000000,104.1100000,24208150
20210127,000000,104.2000000,104.6500000,100.1500000,100.5200000,22901790
20210128,000000,99.9800000,102.2500000,98.4900000,101.2000000,19403740
20210129,000000,100.8800000,101.2100000,98.5200000,99.2200000,19183060
20210201,000000,100.0100000,101.4800000,98.5500000,100.6100000,15798940
20210202,000000,100.9800000,103.4600000,100.3700000,102.1500000,24951610
20210203,000000,102.7500000,104.4500000,102.1700000,103.6600000,19396360
20210204,000000,103.4500000,104.1800000,102.0700000,102.6100000,12281440
20210205,000000,103.0800000,103.3800000,100.5600000,102.3200000,12913330
