<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201007,000000,2883.5800000,2888.2000000,2838.4500000,2842.5800000,67235083006
20201008,000000,2850.6500000,2859.8700000,2837.0500000,2846.3900000,55803931185
20201009,000000,2841.4200000,2841.4600000,2811.0500000,2834.0900000,67564085234
20201012,000000,2834.3300000,2862.3600000,2827.5200000,2846.1400000,58718697811
20201013,000000,2846.0400000,2859.5200000,2822.9700000,2829.2300000,56828024719
20201014,000000,2829.8800000,2857.4700000,2824.1200000,2856.0800000,54266740542
20201015,000000,2849.2400000,2850.1100000,2803.9000000,2817.2900000,65315267335
20201016,000000,2819.0400000,2819.0400000,2785.8500000,2799.5400000,71062651944
20201019,000000,2804.2500000,2809.4200000,2787.5000000,2794.2700000,48808418102
20201020,000000,2785.9900000,2817.7300000,2774.1600000,2803.0600000,70200100872
20201021,000000,2811.8700000,2816.9000000,2782.3600000,2786.2300000,65964265507
20201022,000000,2784.1800000,2814.1200000,2783.3700000,2803.1700000,61193148610
20201023,000000,2807.3000000,2826.5300000,2799.6300000,2816.7000000,58028372135
20201026,000000,2812.4800000,2819.0500000,2785.5900000,2785.5900000,52620022209
20201027,000000,2784.1300000,2790.1900000,2758.0000000,2763.0300000,61439709363
20201028,000000,2758.8400000,2758.8400000,2680.8300000,2693.4600000,91471007602
20201029,000000,2704.5000000,2728.9700000,2682.6800000,2709.0400000,74274727007
20201030,000000,2698.9400000,2706.3400000,2664.4400000,2690.5900000,68437052454
20201102,000000,2681.1900000,2743.9800000,2658.4900000,2737.5400000,72875417364
20201103,000000,2753.9700000,2791.7700000,2750.2600000,2786.4200000,78312915395
20201105,000000,2824.4500000,2869.9100000,2812.6700000,2861.3900000,105075809980
20201106,000000,2843.7500000,2896.0700000,2832.9800000,2895.6200000,80150971975
20201109,000000,2922.4900000,2988.8800000,2910.4200000,2987.7500000,186313489561
20201110,000000,2963.2100000,3013.5700000,2943.4300000,2998.6100000,150143736891
20201111,000000,3004.2000000,3031.6900000,3004.2000000,3015.0300000,156821124273
20201112,000000,2996.4800000,3028.5200000,2988.0300000,3025.8300000,111789624957
20201113,000000,3001.5500000,3027.4500000,2995.1700000,3025.2200000,94095252969
20201116,000000,3064.1200000,3081.2800000,3046.7700000,3079.7400000,112988144821
20201117,000000,3083.4000000,3087.1900000,3027.7600000,3052.2200000,97608154857
20201118,000000,3042.6200000,3086.7700000,3035.5700000,3080.6800000,86636354933
20201119,000000,3064.8400000,3071.2500000,3040.6600000,3046.4900000,80620625898
20201120,000000,3048.2300000,3060.9100000,3035.5600000,3051.0400000,57915610051
20201123,000000,3066.9300000,3094.0600000,3042.6100000,3047.0600000,88577716531
20201124,000000,3075.6200000,3098.8300000,3053.1600000,3095.8400000,99136768324
20201125,000000,3117.4900000,3134.7100000,3089.1600000,3134.5200000,130490033334
20201126,000000,3144.4100000,3149.9000000,3119.4600000,3138.6200000,86266837452
20201127,000000,3131.9600000,3150.7800000,3112.4400000,3142.6800000,91351650896
20201130,000000,3130.5100000,3134.7900000,3093.7700000,3107.5800000,171152289792
20201201,000000,3115.5500000,3159.0300000,3114.0600000,3147.7900000,108122983884
20201202,000000,3152.5900000,3189.6100000,3139.9200000,3189.6100000,94905754026
20201203,000000,3187.1400000,3192.9800000,3141.4000000,3162.6700000,95166303487
20201204,000000,3172.3600000,3200.2300000,3171.6800000,3184.7200000,94447947565
20201207,000000,3179.0800000,3208.5300000,3172.2900000,3195.0800000,87797850802
20201208,000000,3182.1500000,3198.1000000,3150.8400000,3179.6100000,93323100829
20201209,000000,3184.6700000,3226.4800000,3182.5400000,3211.6600000,96133781825
20201210,000000,3192.9500000,3258.3100000,3189.0400000,3258.3100000,103030272085
20201211,000000,3259.6500000,3278.2400000,3248.1100000,3276.5800000,108272682165
20201214,000000,3294.0600000,3314.2000000,3249.3600000,3254.8300000,124575239806
20201215,000000,3251.5400000,3284.8400000,3237.8700000,3248.1100000,92670649434
20201216,000000,3261.6100000,3275.6800000,3242.7000000,3269.9500000,94403408967
20201217,000000,3278.9900000,3318.3900000,3274.4500000,3282.6700000,138217821398
20201218,000000,3281.7500000,3283.3200000,3245.2500000,3273.7500000,125942200923
20201221,000000,3242.6200000,3244.4300000,3170.0300000,3186.3800000,135766405098
20201222,000000,3180.2000000,3249.1900000,3175.5100000,3236.4600000,98812846384
20201223,000000,3223.3900000,3255.4000000,3218.1900000,3252.1000000,65433520875
20201224,000000,3256.5500000,3264.6000000,3230.6200000,3236.8800000,50752693827
20201225,000000,3238.9100000,3248.6300000,3228.7400000,3246.3500000,23650894826
20201228,000000,3250.6400000,3267.6100000,3249.9100000,3258.9500000,52064728495
20201229,000000,3270.7500000,3282.2300000,3264.3300000,3274.6700000,62043587629
20201230,000000,3275.4400000,3294.6200000,3267.3900000,3289.0200000,67240374440
20210104,000000,3304.7500000,3350.8100000,3304.1700000,3350.5100000,66835524820
20210105,000000,3326.0600000,3365.3200000,3301.8800000,3359.1500000,71655035538
20210106,000000,3375.9100000,3380.6300000,3344.4300000,3371.0300000,71374633095
20210108,000000,3399.2300000,3474.6600000,3397.1500000,3454.8200000,131904843837
20210111,000000,3449.9100000,3516.9000000,3436.6600000,3482.4800000,143248254278
20210112,000000,3496.5900000,3520.6600000,3451.8700000,3471.6500000,104187325062
20210113,000000,3493.6900000,3504.5600000,3448.9400000,3470.2600000,99549335378
20210114,000000,3462.8700000,3507.7100000,3439.0100000,3490.8500000,108528483463
20210115,000000,3482.5100000,3509.2400000,3448.5400000,3450.9500000,104925360899
20210118,000000,3436.3900000,3475.1800000,3426.1100000,3471.9200000,91986682524
20210119,000000,3484.4600000,3491.9300000,3439.6400000,3443.2300000,86376065250
20210120,000000,3457.0000000,3482.0300000,3447.8100000,3466.8000000,75713649369
20210121,000000,3483.5300000,3489.0700000,3407.2200000,3422.6700000,114885874902
20210122,000000,3398.1500000,3399.2800000,3362.0100000,3382.9200000,110658345786
20210125,000000,3407.3900000,3425.7800000,3385.7400000,3397.4800000,106641524465
20210126,000000,3382.3900000,3408.1300000,3374.1000000,3390.7600000,80219370108
20210127,000000,3400.5900000,3408.6400000,3333.0400000,3343.6200000,105541897596
20210128,000000,3317.0800000,3359.1000000,3307.4200000,3342.0100000,91770358436
20210129,000000,3331.5200000,3337.0100000,3272.5300000,3277.0800000,112809515369
20210201,000000,3285.3600000,3305.9100000,3268.5200000,3291.1400000,85956218339
20210202,000000,3329.6700000,3366.1300000,3321.7000000,3360.2500000,98393387622
20210203,000000,3350.9700000,3376.8300000,3332.5000000,3343.4600000,79634530378
20210204,000000,3359.7900000,3384.4800000,3351.9400000,3372.0000000,88134034619
20210205,000000,3399.9300000,3406.2200000,3368.5800000,3392.7300000,86590382240
